"season","term","beta_standardized","se","p","aic_year_only","aic_year_climate","delta_aic_climate_minus_year"
"Annual","(Intercept)",-0.0325229131231353,0.153868706804044,0.834739085745476,8.5926196063016,23.4386157679883,14.8459961616867
"Annual","year_z",0.841100326438246,0.134873010328113,4.3278313970225e-06,8.5926196063016,23.4386157679883,14.8459961616867
"Annual","PPT_z",-0.0077629213251971,0.0632875178169975,0.903599626279983,8.5926196063016,23.4386157679883,14.8459961616867
"Annual","Temp_z",0.0848375253288808,0.0540730522270809,0.132347727293944,8.5926196063016,23.4386157679883,14.8459961616867
"Annual","Sradi_z",-0.0606249631266742,0.0754538163222245,0.431148721968516,8.5926196063016,23.4386157679883,14.8459961616867
"Dry","(Intercept)",-0.00658819853447295,0.0662802596522421,0.921810968469004,32.3354489136841,25.6287969067252,-6.70665200695895
"Dry","year_z",0.834712859736197,0.0685801481581369,1.05782467725351e-10,32.3354489136841,25.6287969067252,-6.70665200695895
"Dry","PPT_z",0.235694233436571,0.0427795881775448,2.15570982890244e-05,32.3354489136841,25.6287969067252,-6.70665200695895
"Dry","Temp_z",0.0697895734207488,0.0492008684466777,0.171451155748157,32.3354489136841,25.6287969067252,-6.70665200695895
"Dry","Sradi_z",0.0862951731425809,0.0531184826021553,0.119908229437566,32.3354489136841,25.6287969067252,-6.70665200695895
"Wet","(Intercept)",-0.00828455007908211,0.108907995805206,0.940119801929662,25.2828133509596,40.0472426779882,14.7644293270286
"Wet","year_z",0.965728123023723,0.1340288917189,5.64150403854378e-07,25.2828133509596,40.0472426779882,14.7644293270286
"Wet","PPT_z",0.0250926114980644,0.119447012307048,0.835735866297788,25.2828133509596,40.0472426779882,14.7644293270286
"Wet","Temp_z",-0.0268081314625428,0.0976090794674226,0.786403748358951,25.2828133509596,40.0472426779882,14.7644293270286
"Wet","Sradi_z",0.0528961710790117,0.130507200802971,0.689550867972553,25.2828133509596,40.0472426779882,14.7644293270286
