"season","start_year","end_year","n","drop_start_years","drop_end_years","slope_per_decade_Sen","p_MK","tau_MK"
"Annual",2001,2025,25,0,0,0.0351439099641733,1.45804841953164e-09,0.866666666666666
"Annual",2001,2024,24,0,1,0.0364462409901657,3.06175788202689e-09,0.869565217391304
"Annual",2001,2023,23,0,2,0.0371666850787664,8.53791378182625e-09,0.865612648221344
"Annual",2002,2025,24,1,0,0.0354819980207134,5.57489092582467e-09,0.855072463768116
"Annual",2002,2024,23,1,1,0.0368872616188934,1.16576518658494e-08,0.857707509881423
"Annual",2002,2023,22,1,2,0.0377746433866857,3.26135079658999e-08,0.852813852813853
"Annual",2003,2025,23,2,0,0.0368872616188934,4.54246081325569e-09,0.881422924901186
"Annual",2003,2024,22,2,1,0.0381816425938934,8.79969375885594e-09,0.887445887445887
"Annual",2003,2023,21,2,2,0.03937428495345,2.31784131092112e-08,0.885714285714286
"Dry",2001,2025,25,0,0,0.0495728584786325,2.37990784632481e-08,0.8
"Dry",2001,2024,24,0,1,0.0517309464527579,1.79584320019061e-08,0.826086956521739
"Dry",2001,2023,23,0,2,0.05439591292097,5.31151318256385e-08,0.818181818181818
"Dry",2002,2025,24,1,0,0.0467038607485898,9.66317106733258e-08,0.782608695652174
"Dry",2002,2024,23,1,1,0.0495277654242586,7.13519032225697e-08,0.810276679841897
"Dry",2002,2023,22,1,2,0.051079418016809,2.12086884607714e-07,0.800865800865801
"Dry",2003,2025,23,2,0,0.049394063026706,2.26148286773977e-07,0.778656126482213
"Dry",2003,2024,22,2,1,0.0511294788764713,1.56439268711788e-07,0.80952380952381
"Dry",2003,2023,21,2,2,0.0537565077458817,4.58562501027233e-07,0.8
"Wet",2001,2025,25,0,0,0.0247338063848716,1.81733599823231e-08,0.806666666666667
"Wet",2001,2024,24,0,1,0.0255293413400041,5.56746375062912e-08,0.797101449275362
"Wet",2001,2023,23,0,2,0.0268764447589466,1.7018033824823e-07,0.786561264822134
"Wet",2002,2025,24,1,0,0.0245435119746145,7.3435743183885e-08,0.789855072463768
"Wet",2002,2024,23,1,1,0.0254975797674,2.26148286773977e-07,0.778656126482213
"Wet",2002,2023,22,1,2,0.027047246261811,6.94713681812685e-07,0.766233766233766
"Wet",2003,2025,23,2,0,0.0258039462816594,5.31151318256385e-08,0.818181818181818
"Wet",2003,2024,22,2,1,0.027053079767495,1.56439268711788e-07,0.80952380952381
"Wet",2003,2023,21,2,2,0.0284237681615478,4.58562501027233e-07,0.8
