"season","drop_start_years","drop_end_years","n","start_year","end_year","slope_per_decade_Sen","p_MK","tau_MK"
"Annual",0,0,25,2001,2025,0.0351439099641733,0.00000000145804841953164,0.866666666666666
"Annual",0,1,24,2001,2024,0.0364462409901657,0.00000000306175788202689,0.869565217391304
"Annual",0,2,23,2001,2023,0.0371666850787663,0.00000000853791378182625,0.865612648221344
"Annual",1,0,24,2002,2025,0.0354819980207141,0.00000000557489092582467,0.855072463768116
"Annual",1,1,23,2002,2024,0.0368872616188938,0.0000000116576518658494,0.857707509881423
"Annual",1,2,22,2002,2023,0.0377746433866859,0.0000000326135079658999,0.852813852813853
"Annual",2,0,23,2003,2025,0.0368872616188938,0.00000000454246081325569,0.881422924901186
"Annual",2,1,22,2003,2024,0.0381816425938952,0.00000000879969375885594,0.887445887445887
"Annual",2,2,21,2003,2023,0.0393742849534502,0.0000000231784131092112,0.885714285714286
"Dry",0,0,24,2002,2025,0.0467038607485898,0.0000000966317106733258,0.782608695652174
"Dry",0,1,23,2002,2024,0.0495277654242584,0.0000000713519032225697,0.810276679841897
"Dry",0,2,22,2002,2023,0.0510794180168092,0.000000212086884607714,0.800865800865801
"Dry",1,0,23,2003,2025,0.049394063026706,0.000000226148286773977,0.778656126482213
"Dry",1,1,22,2003,2024,0.0511294788764703,0.000000156439268711788,0.80952380952381
"Dry",1,2,21,2003,2023,0.0537565077458818,0.000000458562501027233,0.8
"Dry",2,0,22,2004,2025,0.0511294788764703,0.000000286644124850532,0.792207792207792
"Dry",2,1,21,2004,2024,0.0541604844342626,0.000000175034906239331,0.828571428571429
"Dry",2,2,20,2004,2023,0.0566464003429107,0.000000493394026713873,0.821052631578947
"Wet",0,0,25,2001,2025,0.024733806384872,0.0000000181733599823231,0.806666666666667
"Wet",0,1,24,2001,2024,0.0255293413400036,0.0000000556746375062912,0.797101449275362
"Wet",0,2,23,2001,2023,0.0268764447589466,0.00000017018033824823,0.786561264822134
"Wet",1,0,24,2002,2025,0.0245435119746143,0.000000073435743183885,0.789855072463768
"Wet",1,1,23,2002,2024,0.0254975797673994,0.000000226148286773977,0.778656126482213
"Wet",1,2,22,2002,2023,0.0270472462618114,0.000000694713681812685,0.766233766233766
"Wet",2,0,23,2003,2025,0.0258039462816591,0.0000000531151318256385,0.818181818181818
"Wet",2,1,22,2003,2024,0.0270530797674947,0.000000156439268711788,0.80952380952381
"Wet",2,2,21,2003,2023,0.0284237681615477,0.000000458562501027233,0.8
