season,class_code,class_label,stable_0p05_pixels,n,sen_slope_per_decade,mk_tau,mk_p
Annual,1,Evergreen needleleaf forest,337,25,0.024371120377208354,0.7866666666666665,2.41079593555365e-10
Annual,2,Evergreen broadleaf forest,3094,25,0.03033990939623532,0.7933333333333331,1.4377353942437816e-10
Annual,5,Mixed forest,903,25,0.033014749013428456,0.8599999999999999,3.2014691654910987e-13
Annual,8,Woody savanna,10351,25,0.03726188686145786,0.8399999999999999,2.4595495011540233e-12
Annual,9,Savanna,9272,25,0.038233724432005914,0.8733333333333332,7.255966503025348e-14
Annual,10,Grassland,385,25,0.019747993833191795,0.7533333333333332,2.6298918064910844e-09
Annual,11,Permanent wetland,61,25,0.02811381564867131,0.7866666666666665,2.41079593555365e-10
Annual,12,Cropland,1103,25,0.030736783523394103,0.8333333333333331,4.644413290051839e-12
Annual,13,Urban and built-up,1107,25,0.028399095912900053,0.8199999999999998,1.5620057682745543e-11
Annual,14,Cropland/natural mosaic,1355,25,0.03933120027532737,0.7999999999999998,8.45121861355698e-11
Annual,17,Water,1140,25,0.026328902520871895,0.8399999999999999,2.4595495011540233e-12
Dry,1,Evergreen needleleaf forest,337,25,0.028540527320933956,0.8266666666666665,8.597656714794595e-12
Dry,2,Evergreen broadleaf forest,3094,25,0.0428688939262941,0.7666666666666665,1.0489572171579035e-09
Dry,5,Mixed forest,903,25,0.04618532111211715,0.8199999999999998,1.5620057682745543e-11
Dry,8,Woody savanna,10351,25,0.05346272870354978,0.8133333333333331,2.7878991956148863e-11
Dry,9,Savanna,9272,25,0.05165071805380339,0.7799999999999999,3.9870919789956164e-10
Dry,10,Grassland,385,25,0.024601759020445528,0.7399999999999999,6.308099930779546e-09
Dry,11,Permanent wetland,61,25,0.04163782075468436,0.7999999999999998,8.45121861355698e-11
Dry,12,Cropland,1103,25,0.043536647503575714,0.7866666666666665,2.41079593555365e-10
Dry,13,Urban and built-up,1107,25,0.042106654430544045,0.7999999999999998,8.45121861355698e-11
Dry,14,Cropland/natural mosaic,1355,25,0.05651833001661984,0.7666666666666665,1.0489572171579035e-09
Dry,17,Water,1140,25,0.03826310366644107,0.8199999999999998,1.5620057682745543e-11
Wet,1,Evergreen needleleaf forest,337,25,0.022628213851127593,0.6199999999999999,3.571428951211509e-06
Wet,2,Evergreen broadleaf forest,3094,25,0.021217253799154855,0.7666666666666665,1.0489572171579035e-09
Wet,5,Mixed forest,903,25,0.023928950477188227,0.7866666666666665,2.41079593555365e-10
Wet,8,Woody savanna,10351,25,0.026059059123276884,0.7533333333333332,2.6298918064910844e-09
Wet,9,Savanna,9272,25,0.029179955741881924,0.8133333333333331,2.7878991956148863e-11
Wet,10,Grassland,385,25,0.017423598559856028,0.5599999999999998,3.948123791818941e-05
Wet,11,Permanent wetland,61,25,0.015978044400556397,0.6866666666666665,1.428503766531016e-07
Wet,12,Cropland,1103,25,0.021109000037844678,0.7866666666666665,2.41079593555365e-10
Wet,13,Urban and built-up,1107,25,0.016862576314212063,0.7466666666666665,4.094707872058287e-09
Wet,14,Cropland/natural mosaic,1355,25,0.028936017417903522,0.7733333333333332,6.507854925985037e-10
Wet,17,Water,1140,25,0.01629117969406799,0.7533333333333332,2.6298918064910844e-09
