year,season,Terra_MOD13A3_NDVI,Aqua_MYD13A3_NDVI
2003,Annual,0.6028136124212877,0.60212193631669
2004,Annual,0.5997433079620398,0.5971431952958588
2005,Annual,0.5996507719385771,0.5969247370606979
2006,Annual,0.6124678091200486,0.6110297130226819
2007,Annual,0.6193798581137263,0.6163891453828413
2008,Annual,0.6140055196373609,0.617401479869115
2009,Annual,0.6197031610823502,0.6178151541735926
2010,Annual,0.6160652534308765,0.6162145278272075
2011,Annual,0.6254395505949839,0.625046914295906
2012,Annual,0.6375310989067069,0.6281159171091312
2013,Annual,0.6403767782383213,0.6357841970375269
2014,Annual,0.6417519967304295,0.6355292375905164
2015,Annual,0.6549561273150233,0.6491533625191998
2016,Annual,0.6610826226386789,0.6575049093571135
2017,Annual,0.6656877632217242,0.6648062004882933
2018,Annual,0.6616332930706711,0.657929147165625
2019,Annual,0.6629262380059472,0.6538921484088289
2020,Annual,0.6653486042279516,0.6483700300891478
2021,Annual,0.6715250724667285,0.6603875464069935
2022,Annual,0.6659620916060153,0.6625798512522357
2023,Annual,0.6658482454968547,0.6574274027540955
2024,Annual,0.6698368495373762,0.6676351952927699
2025,Annual,0.6697950487274491,0.666564335922862
2003,Dry,0.5596330123765475,0.5564599440563728
2004,Dry,0.537026076204481,0.5394138515279623
2005,Dry,0.5346304112416865,0.530708353035152
2006,Dry,0.5547285845382466,0.553881816874287
2007,Dry,0.5639797677978771,0.5649999770262614
2008,Dry,0.5556779143258961,0.5521529842208671
2009,Dry,0.5671444367652009,0.5706010645059483
2010,Dry,0.5599645010851854,0.5612905058167542
2011,Dry,0.5696933555256429,0.5704116720466713
2012,Dry,0.5831159475802837,0.5840809103878419
2013,Dry,0.5934088519981228,0.5852643977954596
2014,Dry,0.5918751622621449,0.5868242486215748
2015,Dry,0.6007260470270049,0.5993966128866165
2016,Dry,0.616763756924193,0.6146486667544045
2017,Dry,0.6292388161652257,0.626017007229535
2018,Dry,0.6193020249450704,0.6158731376779969
2019,Dry,0.6298869416359159,0.6278124124610422
2020,Dry,0.6240611010761565,0.6125299684647926
2021,Dry,0.627042252618392,0.615896440312013
2022,Dry,0.6394767072244758,0.6377732514331511
2023,Dry,0.6159323061327475,0.6116579717527937
2024,Dry,0.6332505799663688,0.6293303744316172
2025,Dry,0.6216041647678678,0.6254613227987866
2003,Wet,0.6586298791144348,0.6555548149723199
2004,Wet,0.6587814147916685,0.6594249731727443
2005,Wet,0.6579755886074841,0.6545168605363877
2006,Wet,0.6651406156574153,0.6617342938345389
2007,Wet,0.6757610620733837,0.6712470338689748
2008,Wet,0.6673576185018553,0.6737555055052644
2009,Wet,0.677549611676611,0.6733719679248874
2010,Wet,0.6635862204937044,0.6617401119823371
2011,Wet,0.6740806351136713,0.6749333271001615
2012,Wet,0.684282114556085,0.6751685290791364
2013,Wet,0.6897927338171327,0.6851846166390542
2014,Wet,0.6884597888449949,0.6833752340173961
2015,Wet,0.6979487188547399,0.686663064296584
2016,Wet,0.7018263917183751,0.6999060367629938
2017,Wet,0.7053513607316068,0.7046030407319168
2018,Wet,0.7006473519208898,0.6994733493681107
2019,Wet,0.7020714443491715,0.6923268349315698
2020,Wet,0.7014747963848105,0.6828249195609419
2021,Wet,0.713100135965247,0.6973783957532446
2022,Wet,0.7050443813442298,0.7014837231626586
2023,Wet,0.7026797428635106,0.6952446019638223
2024,Wet,0.7082117534916567,0.7041449890388859
2025,Wet,0.7102801037871147,0.7036701815789733
