season,period,term,beta_std,se,p,phi,aic_year_only,aic_year_climate,delta_aic
Annual,2001-2025,(Intercept),-0.020749744153324333,0.11129990256040903,0.8539848775881341,0.6146442785550437,1.3418878510115917,3.3658311694112104,2.0239433183996187
Annual,2001-2025,Year,0.855197987760651,0.10850894871500534,1.4671824154672078e-07,0.6146442785550437,1.3418878510115917,3.3658311694112104,2.0239433183996187
Annual,2001-2025,Precipitation,-0.01590691254979193,0.06612719180735444,0.8123523149986271,0.6146442785550437,1.3418878510115917,3.3658311694112104,2.0239433183996187
Annual,2001-2025,Temperature,0.0833320371430307,0.056453488880526634,0.15548399675719848,0.6146442785550437,1.3418878510115917,3.3658311694112104,2.0239433183996187
Annual,2001-2025,Solar radiation,-0.0766960907752603,0.07805450944414714,0.3375441295445789,0.6146442785550437,1.3418878510115917,3.3658311694112104,2.0239433183996187
Dry,2002-2025,(Intercept),-0.004637050623904165,0.06763461724376275,0.9460560066189028,0.3730401248500015,17.68276821743772,0.2203352199833315,-17.462432997454385
Dry,2002-2025,Year,0.8464397787200891,0.06863831740671525,1.6320886845630197e-10,0.3730401248500015,17.68276821743772,0.2203352199833315,-17.462432997454385
Dry,2002-2025,Precipitation,0.09634995532472679,0.05829543938657659,0.1148032812354191,0.3730401248500015,17.68276821743772,0.2203352199833315,-17.462432997454385
Dry,2002-2025,Temperature,0.08773306827877547,0.04255556407321965,0.053195248515918565,0.3730401248500015,17.68276821743772,0.2203352199833315,-17.462432997454385
Dry,2002-2025,Solar radiation,-0.1650041922558278,0.0677277062811204,0.024851650191972934,0.3730401248500015,17.68276821743772,0.2203352199833315,-17.462432997454385
Wet,2001-2025,(Intercept),-0.005767697692205789,0.09503897377665778,0.9522102717678175,0.3013946310219281,17.217518971998288,23.060681588027247,5.843162616028959
Wet,2001-2025,Year,0.9700493958700234,0.12824757968771855,2.7407146065498344e-07,0.3013946310219281,17.217518971998288,23.060681588027247,5.843162616028959
Wet,2001-2025,Precipitation,0.017583459679244906,0.1201361073393771,0.885100203503796,0.3013946310219281,17.217518971998288,23.060681588027247,5.843162616028959
Wet,2001-2025,Temperature,-0.031075563673516493,0.1024968170162192,0.7648795822812003,0.3013946310219281,17.217518971998288,23.060681588027247,5.843162616028959
Wet,2001-2025,Solar radiation,0.03487136704913024,0.13133857425657683,0.7933361115559603,0.3013946310219281,17.217518971998288,23.060681588027247,5.843162616028959
